bitrate_list,quantile_list
"[[45226.0, 88783.0, 128503.0, 177437.0, 217761.0, 255865.0, 323047.0, 378355.0]]","(118573.0, 197599.0, 272660.5, 378355.0)"
"[[509091.0, 577751.0, 782553.0, 782553.0]]","(560586.0, 680152.0, 782553.0, 782553.0)"
"[[782553.0, 1008699.0, 1008699.0]]","(895626.0, 1008699.0, 1008699.0, 1008699.0)"
"[[1207152.0, 1207152.0, 1207152.0]]","(1207152.0, 1207152.0, 1207152.0, 1207152.0)"
"[[1207152.0, 1207152.0, 1473801.0]]","(1207152.0, 1207152.0, 1340476.5, 1473801.0)"
"[[1473801.0, 1473801.0, 1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
[[1473801.0]],"(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
"[[1473801.0, 1473801.0]]","(1473801.0, 1473801.0, 1473801.0, 1473801.0)"
