MO,MA,SD,RF,bitrate,freq,mag
2378486.0,386451.5,494448.3521915403,530524.2396313364,0.719523,3.5625,0.225075
3224550.0,942548.0,1026424.1070285112,980188.77852349,1.141001,1.640625,0.114576
3621456.0,1207152.0,1207152.0,1159590.664165103,1.207152,0.41015625,0.0
3621456.0,1207152.0,1207152.0,1194899.6114064765,1.207152,0.1025390625,0.0
4828608.0,1207152.0,1207152.0,1204065.4065505904,1.207152,0.025634765625,0.0
4421403.0,1473801.0,1473801.0,1472857.0913416084,1.473801,0.00640869140625,0.0
2947602.0,1473801.0,1473801.0,1473564.9094307094,1.473801,0.0016021728515625,0.0
2947602.0,1473801.0,1473801.0,1473741.9702656257,1.473801,0.000400543212890625,0.0
2947602.0,1473801.0,1473801.0,1473786.2421230867,1.473801,0.00010013580322265625,0.0
2947602.0,1473801.0,1473801.0,1473797.310503063,1.473801,2.5033950805664062e-05,0.0
4421403.0,1473801.0,1473801.0,1473800.077624034,1.473801,6.258487701416016e-06,0.0
4421403.0,1473801.0,1473801.0,1473800.7694059003,1.473801,1.564621925354004e-06,0.0
4421403.0,1473801.0,1473801.0,1473800.9423514684,1.473801,3.91155481338501e-07,0.0
2947602.0,1473801.0,1473801.0,1473800.9855878667,1.473801,9.778887033462524e-08,0.0
2947602.0,1473801.0,1473801.0,1473800.9963969667,1.473801,2.444721758365631e-08,0.0
2947602.0,1473801.0,1473801.0,1473800.9990992416,1.473801,6.111804395914078e-09,0.0
4421403.0,1473801.0,1473801.0,1473800.9997748104,1.473801,1.5279510989785194e-09,0.0
4421403.0,1473801.0,1473801.0,1473800.9999437027,1.473801,3.8198777474462986e-10,0.0
2947602.0,1473801.0,1473801.0,1473800.9999859256,1.473801,9.549694368615746e-11,0.0
2947602.0,1473801.0,1473801.0,1473800.9999964815,1.473801,2.3874235921539366e-11,0.0
2947602.0,1473801.0,1473801.0,1473800.9999991204,1.473801,5.9685589803848416e-12,0.0
2017398.0,311046.0,912373.2218565743,1154651.1627905373,1.24125,0.7500000000014921,0.328876
3026097.0,1008699.0,1008699.0,990133.9877300251,1.008699,0.18750000000037303,0.0
3026097.0,1008699.0,1008699.0,1003992.7838258072,1.008699,0.04687500000009326,0.0
4828608.0,1207152.0,1207152.0,1205739.024580567,1.207152,0.011718750000023315,0.0
2414304.0,807178.5,1151927.1839033882,1246615.1448551442,1.340476,0.7529296875000058,0.188549
2947602.0,1473801.0,1473801.0,1446571.8281373559,1.473801,0.18823242187500144,0.0
1473801.0,1473801.0,1473801.0,1466898.0556584916,1.473801,0.04705810546875036,0.0
1008699.0,1008699.0,1008699.0,1007513.707841879,1.008699,0.01176452636718759,0.0
0.0,0.0,0.0,0.0,0.0,0.0029411315917968976,0.0
0.0,0.0,0.0,0.0,0.0,0.0007352828979492244,0.0
0.0,0.0,0.0,0.0,0.0,0.0001838207244873061,0.0
0.0,0.0,0.0,0.0,0.0,4.5955181121826524e-05,0.0
0.0,0.0,0.0,0.0,0.0,1.1488795280456631e-05,0.0
756710.0,378355.0,378355.0,378354.89132895274,0.378355,2.8721988201141578e-06,0.0
1513420.0,378355.0,378355.0,378354.97283223236,0.378355,7.180497050285394e-07,0.0
1261802.0,173700.6,203764.01134979847,193014.69104909914,0.236443,2.2500001795124263,0.032678
2893844.0,322321.86666666664,337785.70535400615,416826.31601469277,0.596582,4.312500044878107,0.258796
1008699.0,1008699.0,1008699.0,910532.2416730502,1.008699,1.0781250112195266,0.0
4034796.0,1008699.0,1008699.0,982224.9674000432,1.008699,0.26953125280488166,0.0
3026097.0,876397.0,960273.1070285112,993632.2108230138,1.07485,0.8173828132012204,0.114576
2414304.0,1207152.0,1207152.0,1182978.34579397,1.207152,0.2043457033003051,0.0
3621456.0,1207152.0,1207152.0,1201016.436291271,1.207152,0.051086425825076276,0.0
2414304.0,1207152.0,1207152.0,1205612.2394938322,1.207152,0.012771606456269069,0.0
3621456.0,1207152.0,1207152.0,1206766.6912683647,1.207152,0.0031929016140672672,0.0
2414304.0,1207152.0,1207152.0,1207055.649751691,1.207152,0.0007982254035168168,0.0
3621456.0,1207152.0,1207152.0,1207127.9109959037,1.207152,0.0001995563508792042,0.0
3621456.0,1207152.0,1207152.0,1207145.9776588432,1.207152,4.988908771980105e-05,0.0
2414304.0,1207152.0,1207152.0,1207150.4944090773,1.207152,1.2472271929950263e-05,0.0
2414304.0,1207152.0,1207152.0,1207151.6236019174,1.207152,3.1180679824875657e-06,0.0
0.0,0.0,0.0,0.0,0.0,7.795169956218914e-07,0.0
782553.0,782553.0,782553.0,782552.9847496663,0.782553,1.9487924890547285e-07,0.0
2347659.0,782553.0,782553.0,782552.9961874165,0.782553,4.8719812226368214e-08,0.0
3912765.0,782553.0,782553.0,782552.9990468542,0.782553,1.2179953056592053e-08,0.0
2573805.0,574869.0,787018.0383125476,869102.6084655299,0.999468,1.5000000030449883,0.212449
3621456.0,1029386.0,1142085.1280708555,1164975.280819161,1.296035,1.125000000761247,0.153949
2947602.0,1473801.0,1473801.0,1433484.2552926142,1.473801,0.28125000019031177,0.0
5895204.0,1473801.0,1473801.0,1463510.6904508048,1.473801,0.07031250004757794,0.0
