0,1,2,3,4,5,6,7,8,9
21660,339111.0,408046.0,419283.0,390645.0,428076.0,334240.0,572250.0,343951.0,337819.0
46329,333710.0,370456.0,308687.0,378452.0,290535.0,322748.0,394754.0,334026.0,306245.0
74517,311645.0,392456.0,343074.0,374895.0,363121.0,382128.0,582733.0,332578.0,311638.0
92784,319440.0,372544.0,367438.0,416908.0,436815.0,346813.0,571710.0,333500.0,248691.0
103683,359742.0,351732.0,381002.0,373560.0,440080.0,303108.0,430430.0,345458.0,148685.0
98419,404731.0,342560.0,412319.0,317825.0,422988.0,393728.0,511201.0,312042.0,149874.0
194565,357820.0,417666.0,406563.0,407395.0,432414.0,423917.0,362577.0,329558.0,241070.0
240259,406603.0,416794.0,408538.0,377047.0,387897.0,389504.0,245610.0,324141.0,266295.0
266242,417538.0,438428.0,400569.0,449769.0,441961.0,394005.0,235618.0,330289.0,62219.0
342236,422879.0,313743.0,405276.0,383828.0,420230.0,441097.0,252223.0,341516.0,232209.0
431433,378707.0,386730.0,383743.0,391152.0,381984.0,390127.0,308476.0,333007.0,400659.0
444517,420720.0,320363.0,353456.0,409153.0,396902.0,435583.0,341008.0,336562.0,417279.0
432273,426107.0,394760.0,388984.0,422731.0,380302.0,388904.0,720322.0,338986.0,62219.0
434701,425218.0,370020.0,430688.0,524129.0,286456.0,357226.0,520801.0,340068.0,428380.0
300691,439510.0,422516.0,431101.0,312407.0,440080.0,375044.0,556203.0,342667.0,427208.0
347957,389901.0,423468.0,406317.0,263064.0,422988.0,417251.0,398012.0,390971.0,397973.0
400185,376443.0,387869.0,541583.0,228937.0,432414.0,379847.0,497045.0,414713.0,247808.0
374615,350763.0,516461.0,360820.0,319148.0,387897.0,393728.0,359212.0,404872.0,232209.0
398210,441016.0,464394.0,428458.0,260735.0,441961.0,423917.0,333130.0,424841.0,400659.0
461770,482454.0,418063.0,475040.0,251307.0,420230.0,389504.0,421492.0,428346.0,417279.0
416653,423965.0,403350.0,458419.0,317165.0,381984.0,394005.0,435243.0,427954.0,62219.0
21660,547921.0,558646.0,471325.0,302202.0,396902.0,441097.0,447615.0,423014.0,337819.0
46329,566207.0,570161.0,508846.0,337585.0,380302.0,390127.0,426752.0,430568.0,306245.0
74517,573401.0,578270.0,544502.0,309676.0,286456.0,435583.0,436087.0,433211.0,311638.0
92784,503215.0,365616.0,521650.0,391152.0,334240.0,388904.0,429397.0,433359.0,248691.0
103683,562843.0,531318.0,544080.0,409153.0,322748.0,357226.0,450921.0,438004.0,148685.0
98419,584588.0,396111.0,465521.0,422731.0,382128.0,375044.0,720322.0,428380.0,149874.0
194565,576107.0,481553.0,457338.0,428076.0,346813.0,367445.0,520801.0,427208.0,241070.0
240259,587912.0,468254.0,505334.0,290535.0,303108.0,319621.0,556203.0,397973.0,266295.0
266242,504071.0,573092.0,560191.0,363121.0,436815.0,420938.0,398012.0,247808.0,62219.0
342236,487477.0,564023.0,568781.0,436815.0,440080.0,394754.0,497045.0,450921.0,232209.0
431433,536443.0,370456.0,419283.0,390645.0,422988.0,582733.0,359212.0,390971.0,400659.0
444517,333710.0,392456.0,308687.0,378452.0,432414.0,346813.0,333130.0,414713.0,417279.0
432273,311645.0,372544.0,343074.0,374895.0,387897.0,303108.0,421492.0,404872.0,62219.0
434701,319440.0,351732.0,367438.0,416908.0,441961.0,393728.0,435243.0,424841.0,428380.0
300691,359742.0,342560.0,381002.0,373560.0,420230.0,423917.0,447615.0,428346.0,427208.0
347957,404731.0,417666.0,412319.0,317825.0,381984.0,389504.0,426752.0,427954.0,397973.0
400185,357820.0,416794.0,406563.0,407395.0,396902.0,394005.0,436087.0,423014.0,247808.0
452650,406603.0,438428.0,408538.0,377047.0,380302.0,441097.0,429397.0,430568.0,232209.0
484179,417538.0,313743.0,400569.0,449769.0,286456.0,390127.0,572250.0,433211.0,400659.0
615963,422879.0,386730.0,405276.0,383828.0,334240.0,435583.0,394754.0,433359.0,417279.0
564958,378707.0,320363.0,383743.0,391152.0,322748.0,388904.0,582733.0,438004.0,62219.0
345721,420720.0,394760.0,353456.0,409153.0,382128.0,357226.0,571710.0,343951.0,
377101,426107.0,370020.0,388984.0,422731.0,428076.0,375044.0,430430.0,334026.0,
317322,425218.0,422516.0,430688.0,428076.0,290535.0,417251.0,511201.0,332578.0,
21660,439510.0,423468.0,431101.0,290535.0,363121.0,379847.0,362577.0,333500.0,
46329,389901.0,408046.0,406317.0,363121.0,436815.0,572250.0,245610.0,345458.0,
74517,376443.0,370456.0,419283.0,390645.0,440080.0,478596.0,235618.0,312042.0,
92784,408046.0,392456.0,308687.0,378452.0,422988.0,728834.0,252223.0,329558.0,
103683,339111.0,372544.0,343074.0,374895.0,432414.0,334240.0,308476.0,324141.0,
98419,333710.0,351732.0,367438.0,416908.0,387897.0,322748.0,341008.0,330289.0,
194565,311645.0,342560.0,381002.0,373560.0,441961.0,382128.0,720322.0,341516.0,
240259,319440.0,417666.0,412319.0,317825.0,420230.0,346813.0,520801.0,333007.0,
266242,359742.0,416794.0,406563.0,407395.0,381984.0,303108.0,556203.0,336562.0,
342236,404731.0,438428.0,408538.0,377047.0,396902.0,393728.0,398012.0,338986.0,
431433,357820.0,313743.0,400569.0,449769.0,380302.0,423917.0,497045.0,340068.0,
444517,406603.0,386730.0,405276.0,383828.0,286456.0,389504.0,359212.0,342667.0,
432273,417538.0,320363.0,383743.0,391152.0,440080.0,394005.0,333130.0,390971.0,
434701,422879.0,394760.0,353456.0,409153.0,422988.0,441097.0,421492.0,414713.0,
300691,378707.0,370020.0,388984.0,422731.0,432414.0,390127.0,435243.0,404872.0,
347957,420720.0,422516.0,430688.0,524129.0,387897.0,435583.0,447615.0,424841.0,
400185,426107.0,423468.0,431101.0,312407.0,441961.0,388904.0,426752.0,428346.0,
374615,425218.0,387869.0,406317.0,263064.0,420230.0,357226.0,436087.0,427954.0,
398210,439510.0,516461.0,541583.0,228937.0,381984.0,375044.0,429397.0,423014.0,
461770,389901.0,464394.0,360820.0,319148.0,396902.0,417251.0,450921.0,430568.0,
416653,376443.0,418063.0,428458.0,260735.0,380302.0,379847.0,720322.0,433211.0,
339111,350763.0,403350.0,475040.0,251307.0,286456.0,393728.0,520801.0,433359.0,
21660,441016.0,558646.0,458419.0,317165.0,334240.0,423917.0,556203.0,438004.0,
46329,482454.0,570161.0,471325.0,302202.0,322748.0,389504.0,398012.0,428380.0,
74517,423965.0,578270.0,508846.0,337585.0,382128.0,394005.0,497045.0,427208.0,
92784,547921.0,365616.0,544502.0,309676.0,346813.0,441097.0,359212.0,397973.0,
103683,566207.0,531318.0,521650.0,391152.0,303108.0,390127.0,333130.0,247808.0,
98419,573401.0,396111.0,544080.0,409153.0,436815.0,435583.0,421492.0,450921.0,
194565,503215.0,481553.0,465521.0,422731.0,440080.0,388904.0,435243.0,390971.0,
240259,562843.0,468254.0,457338.0,428076.0,422988.0,357226.0,447615.0,414713.0,
266242,584588.0,573092.0,505334.0,290535.0,432414.0,375044.0,426752.0,404872.0,
342236,576107.0,564023.0,560191.0,363121.0,387897.0,367445.0,436087.0,424841.0,
431433,587912.0,370456.0,568781.0,436815.0,441961.0,319621.0,429397.0,428346.0,
444517,504071.0,392456.0,419283.0,390645.0,420230.0,420938.0,,427954.0,
432273,487477.0,372544.0,308687.0,378452.0,381984.0,394754.0,,423014.0,
434701,536443.0,351732.0,343074.0,374895.0,396902.0,582733.0,,430568.0,
300691,333710.0,342560.0,367438.0,416908.0,380302.0,346813.0,,433211.0,
347957,311645.0,417666.0,381002.0,373560.0,286456.0,303108.0,,433359.0,
400185,319440.0,416794.0,412319.0,317825.0,334240.0,393728.0,,438004.0,
374615,359742.0,438428.0,406563.0,407395.0,322748.0,423917.0,,,
398210,404731.0,313743.0,408538.0,377047.0,382128.0,389504.0,,,
461770,357820.0,386730.0,400569.0,449769.0,,394005.0,,,
416653,406603.0,320363.0,405276.0,383828.0,,441097.0,,,
21660,417538.0,394760.0,383743.0,391152.0,,390127.0,,,
46329,422879.0,370020.0,353456.0,409153.0,,435583.0,,,
74517,378707.0,422516.0,388984.0,422731.0,,388904.0,,,
92784,420720.0,423468.0,430688.0,428076.0,,357226.0,,,
103683,426107.0,,431101.0,290535.0,,375044.0,,,
98419,425218.0,,406317.0,363121.0,,417251.0,,,
194565,439510.0,,,,,379847.0,,,
240259,389901.0,,,,,572250.0,,,
266242,376443.0,,,,,478596.0,,,
342236,408046.0,,,,,728834.0,,,
431433,,,,,,,,,
444517,,,,,,,,,
432273,,,,,,,,,
434701,,,,,,,,,
300691,,,,,,,,,
347957,,,,,,,,,
400185,,,,,,,,,
452650,,,,,,,,,
484179,,,,,,,,,
615963,,,,,,,,,
564958,,,,,,,,,
345721,,,,,,,,,
377101,,,,,,,,,
317322,,,,,,,,,
21660,,,,,,,,,
46329,,,,,,,,,
74517,,,,,,,,,
92784,,,,,,,,,
103683,,,,,,,,,
98419,,,,,,,,,
194565,,,,,,,,,
240259,,,,,,,,,
266242,,,,,,,,,
342236,,,,,,,,,
431433,,,,,,,,,
444517,,,,,,,,,
432273,,,,,,,,,
434701,,,,,,,,,
300691,,,,,,,,,
347957,,,,,,,,,
400185,,,,,,,,,
374615,,,,,,,,,
398210,,,,,,,,,
461770,,,,,,,,,
416653,,,,,,,,,
339111,,,,,,,,,
