0,1,2,3,4,5,6,7,8,9
21660,350763.0,648495.0,676585.0,430688.0,391152.0,268681.0,128678.0,90090.0,38273.0
46329,516507.0,387620.0,647779.0,431101.0,409153.0,204448.0,134328.0,95729.0,46375.0
74517,490986.0,607005.0,395027.0,406317.0,422731.0,254773.0,143343.0,75134.0,49016.0
92784,437711.0,515677.0,551877.0,390645.0,428076.0,232718.0,134776.0,83740.0,49811.0
103683,708194.0,479985.0,565459.0,378452.0,290535.0,159198.0,141705.0,37755.0,48616.0
98419,705401.0,430367.0,494006.0,374895.0,363121.0,209276.0,132791.0,38022.0,49014.0
194565,703976.0,672529.0,479269.0,416908.0,436815.0,206509.0,122673.0,41974.0,47941.0
240259,588226.0,709957.0,610086.0,373560.0,440080.0,249396.0,88732.0,93908.0,50020.0
266242,649251.0,725949.0,690939.0,317825.0,422988.0,222527.0,78934.0,123718.0,44970.0
342236,730241.0,403756.0,632890.0,407395.0,279829.0,201281.0,84056.0,124034.0,47638.0
431433,722605.0,675757.0,405276.0,377047.0,255372.0,272169.0,93530.0,121167.0,71792.0
587156,738995.0,458978.0,383743.0,449769.0,295891.0,131859.0,65004.0,121677.0,69215.0
576366,572123.0,529735.0,353456.0,383828.0,590430.0,226994.0,154855.0,47941.0,90719.0
591342,580878.0,543763.0,388984.0,543794.0,590879.0,266960.0,141739.0,50020.0,91717.0
313859,516507.0,716008.0,612736.0,485133.0,571227.0,236559.0,143936.0,44970.0,90899.0
429061,490986.0,479985.0,550690.0,428865.0,328184.0,240173.0,95138.0,,118633.0
552134,437711.0,430367.0,485342.0,550765.0,297496.0,308428.0,133271.0,,144643.0
452650,708194.0,672529.0,730507.0,455305.0,344452.0,320682.0,141999.0,,145806.0
484179,705401.0,709957.0,927240.0,417779.0,308805.0,298625.0,75134.0,,142365.0
615963,703976.0,725949.0,749623.0,523462.0,244634.0,312209.0,105260.0,,171558.0
564958,588226.0,453409.0,790579.0,492734.0,295590.0,339019.0,82951.0,,47638.0
345721,649251.0,906707.0,698429.0,600026.0,256094.0,312176.0,102559.0,,47236.0
377101,730241.0,542813.0,457338.0,539018.0,161243.0,330022.0,59229.0,,45363.0
317322,722605.0,560788.0,505334.0,511000.0,224592.0,198892.0,47957.0,,47764.0
21660,738995.0,587148.0,560191.0,552407.0,440080.0,177953.0,,,47760.0
46329,572123.0,913498.0,568781.0,576962.0,422988.0,203406.0,,,47250.0
74517,580878.0,821334.0,524129.0,572332.0,432414.0,206509.0,,,48814.0
92784,648495.0,708330.0,565459.0,342033.0,387897.0,249396.0,,,73371.0
103683,387620.0,428454.0,494006.0,495336.0,441961.0,222527.0,,,73768.0
98419,607005.0,769981.0,479269.0,390645.0,420230.0,240173.0,,,67937.0
194565,515677.0,515677.0,610086.0,378452.0,381984.0,308428.0,,,94900.0
240259,516507.0,479985.0,690939.0,374895.0,396902.0,320682.0,,,119204.0
266242,490986.0,430367.0,632890.0,416908.0,380302.0,298625.0,,,107053.0
342236,437711.0,672529.0,671956.0,373560.0,286456.0,312209.0,,,81382.0
431433,708194.0,709957.0,553202.0,317825.0,209276.0,339019.0,,,73549.0
587156,705401.0,725949.0,519936.0,407395.0,,212038.0,,,241163.0
722999,703976.0,403756.0,388984.0,377047.0,,229311.0,,,266295.0
751619,588226.0,675757.0,430688.0,449769.0,,,,,62219.0
318845,649251.0,458978.0,431101.0,383828.0,,,,,45298.0
466698,730241.0,529735.0,406317.0,391152.0,,,,,45883.0
695897,722605.0,543763.0,,409153.0,,,,,41537.0
536307,738995.0,716008.0,,422731.0,,,,,41577.0
586270,572123.0,676585.0,,428076.0,,,,,40986.0
765157,580878.0,647779.0,,290535.0,,,,,47167.0
684557,648495.0,395027.0,,363121.0,,,,,36287.0
337952,387620.0,551877.0,,436815.0,,,,,46436.0
434764,607005.0,,,,,,,,47856.0
303154,,,,,,,,,38463.0
368809,,,,,,,,,60825.0
21660,,,,,,,,,73731.0
46329,,,,,,,,,102559.0
74517,,,,,,,,,114225.0
92784,,,,,,,,,119079.0
103683,,,,,,,,,135153.0
98419,,,,,,,,,227359.0
194565,,,,,,,,,247853.0
240259,,,,,,,,,239662.0
266242,,,,,,,,,284985.0
342236,,,,,,,,,333500.0
431433,,,,,,,,,345458.0
587156,,,,,,,,,312042.0
576366,,,,,,,,,329558.0
591342,,,,,,,,,
313859,,,,,,,,,
429061,,,,,,,,,
552134,,,,,,,,,
452650,,,,,,,,,
484179,,,,,,,,,
615963,,,,,,,,,
684557,,,,,,,,,
337952,,,,,,,,,
434764,,,,,,,,,
303154,,,,,,,,,
368809,,,,,,,,,
