0,1,2,3,4,5,6,7,8,9
16384,516096.0,573440.0,712704.0,266240.0,376832.0,282624.0,196608.0,290816.0,106496.0
45056,548864.0,483328.0,1232896.0,339968.0,405504.0,294912.0,200704.0,20480.0,147456.0
69632,581632.0,897024.0,1269760.0,442368.0,389120.0,200704.0,147456.0,24576.0,184320.0
90112,618496.0,937984.0,471040.0,438272.0,286720.0,192512.0,151552.0,20480.0,217088.0
122880,565248.0,655360.0,618496.0,270336.0,290816.0,192512.0,188416.0,20480.0,294912.0
114688,589824.0,512000.0,704512.0,409600.0,233472.0,331776.0,196608.0,20480.0,303104.0
151552,593920.0,376832.0,577536.0,413696.0,200704.0,331776.0,196608.0,20480.0,417792.0
241664,610304.0,454656.0,524288.0,393216.0,249856.0,331776.0,192512.0,24576.0,434176.0
294912,557056.0,544768.0,434176.0,421888.0,294912.0,331776.0,237568.0,20480.0,434176.0
331776,593920.0,544768.0,491520.0,413696.0,229376.0,249856.0,290816.0,24576.0,483328.0
434176,593920.0,618496.0,532480.0,446464.0,274432.0,253952.0,290816.0,20480.0,503808.0
438272,319488.0,434176.0,585728.0,405504.0,274432.0,237568.0,290816.0,45056.0,282624.0
450560,389120.0,446464.0,712704.0,421888.0,241664.0,241664.0,20480.0,73728.0,73728.0
421888,524288.0,446464.0,720896.0,409600.0,294912.0,245760.0,24576.0,98304.0,143360.0
446464,471040.0,471040.0,634880.0,454656.0,294912.0,249856.0,16384.0,40960.0,90112.0
442368,430080.0,573440.0,471040.0,348160.0,389120.0,155648.0,20480.0,45056.0,282624.0
589824,499712.0,446464.0,618496.0,438272.0,401408.0,110592.0,24576.0,45056.0,73728.0
565248,516096.0,708608.0,528384.0,270336.0,290816.0,143360.0,24576.0,45056.0,143360.0
540672,548864.0,937984.0,577536.0,409600.0,233472.0,143360.0,20480.0,69632.0,90112.0
585728,581632.0,655360.0,524288.0,413696.0,200704.0,,20480.0,94208.0,106496.0
565248,618496.0,512000.0,434176.0,393216.0,249856.0,,24576.0,118784.0,126976.0
593920,565248.0,376832.0,491520.0,421888.0,294912.0,,20480.0,65536.0,135168.0
495616,589824.0,454656.0,532480.0,413696.0,229376.0,,24576.0,69632.0,106496.0
561152,593920.0,544768.0,327680.0,446464.0,274432.0,,45056.0,73728.0,208896.0
610304,610304.0,544768.0,266240.0,405504.0,274432.0,,45056.0,98304.0,217088.0
499712,557056.0,618496.0,339968.0,421888.0,241664.0,,45056.0,86016.0,180224.0
16384,593920.0,434176.0,712704.0,409600.0,294912.0,,,122880.0,167936.0
45056,593920.0,446464.0,1232896.0,454656.0,294912.0,,,114688.0,188416.0
69632,319488.0,446464.0,1167360.0,376832.0,331776.0,,,135168.0,118784.0
90112,389120.0,471040.0,458752.0,405504.0,348160.0,,,147456.0,282624.0
122880,487424.0,606208.0,606208.0,409600.0,356352.0,,,131072.0,69632.0
114688,430080.0,483328.0,671744.0,434176.0,454656.0,,,143360.0,90112.0
151552,430080.0,897024.0,638976.0,442368.0,376832.0,,,147456.0,118784.0
241664,499712.0,937984.0,446464.0,438272.0,405504.0,,,237568.0,143360.0
294912,516096.0,655360.0,356352.0,270336.0,389120.0,,,221184.0,192512.0
331776,548864.0,512000.0,438272.0,409600.0,286720.0,,,450560.0,237568.0
434176,581632.0,376832.0,401408.0,413696.0,290816.0,,,24576.0,299008.0
438272,618496.0,454656.0,450560.0,393216.0,233472.0,,,20480.0,348160.0
450560,565248.0,544768.0,,421888.0,200704.0,,,20480.0,360448.0
421888,589824.0,544768.0,,413696.0,249856.0,,,24576.0,380928.0
593920,593920.0,618496.0,,446464.0,294912.0,,,20480.0,462848.0
598016,610304.0,434176.0,,405504.0,229376.0,,,24576.0,425984.0
589824,557056.0,446464.0,,421888.0,274432.0,,,20480.0,
565248,593920.0,446464.0,,409600.0,274432.0,,,20480.0,
540672,593920.0,471040.0,,,241664.0,,,24576.0,
585728,319488.0,,,,344064.0,,,20480.0,
565248,450560.0,,,,348160.0,,,45056.0,
593920,524288.0,,,,,,,,
495616,471040.0,,,,,,,,
561152,430080.0,,,,,,,,
610304,,,,,,,,,
16384,,,,,,,,,
45056,,,,,,,,,
69632,,,,,,,,,
90112,,,,,,,,,
122880,,,,,,,,,
114688,,,,,,,,,
151552,,,,,,,,,
241664,,,,,,,,,
294912,,,,,,,,,
331776,,,,,,,,,
434176,,,,,,,,,
438272,,,,,,,,,
450560,,,,,,,,,
565248,,,,,,,,,
593920,,,,,,,,,
598016,,,,,,,,,
589824,,,,,,,,,
565248,,,,,,,,,
540672,,,,,,,,,
585728,,,,,,,,,
565248,,,,,,,,,
593920,,,,,,,,,
495616,,,,,,,,,
561152,,,,,,,,,
610304,,,,,,,,,
