0,1,2,3,4,5,6,7,8,9
16384,368640.0,290816.0,360448.0,442368.0,143360.0,589824.0,430080.0,188416.0,221184.0
45056,413696.0,487424.0,397312.0,438272.0,143360.0,757760.0,434176.0,192512.0,225280.0
69632,454656.0,430080.0,221184.0,352256.0,139264.0,700416.0,446464.0,192512.0,151552.0
90112,376832.0,401408.0,241664.0,540672.0,135168.0,749568.0,438272.0,192512.0,45056.0
122880,380928.0,573440.0,294912.0,532480.0,151552.0,778240.0,434176.0,184320.0,81920.0
114688,413696.0,446464.0,299008.0,483328.0,86016.0,688128.0,430080.0,200704.0,53248.0
151552,438272.0,708608.0,286720.0,335872.0,94208.0,737280.0,290816.0,196608.0,65536.0
241664,462848.0,733184.0,233472.0,331776.0,90112.0,704512.0,290816.0,204800.0,77824.0
294912,421888.0,458752.0,282624.0,245760.0,94208.0,745472.0,282624.0,172032.0,81920.0
331776,446464.0,409600.0,270336.0,188416.0,90112.0,557056.0,290816.0,204800.0,106496.0
434176,446464.0,311296.0,294912.0,409600.0,98304.0,569344.0,307200.0,225280.0,208896.0
438272,454656.0,413696.0,282624.0,413696.0,106496.0,106496.0,241664.0,274432.0,376832.0
450560,417792.0,442368.0,237568.0,393216.0,131072.0,131072.0,294912.0,294912.0,319488.0
421888,446464.0,434176.0,266240.0,393216.0,196608.0,196608.0,282624.0,278528.0,290816.0
446464,438272.0,438272.0,319488.0,245760.0,229376.0,229376.0,589824.0,229376.0,323584.0
442368,245760.0,278528.0,327680.0,188416.0,315392.0,315392.0,544768.0,233472.0,425984.0
434176,290816.0,233472.0,409600.0,409600.0,401408.0,401408.0,589824.0,241664.0,327680.0
430080,299008.0,425984.0,434176.0,413696.0,479232.0,479232.0,512000.0,225280.0,315392.0
417792,319488.0,438272.0,438272.0,393216.0,413696.0,745472.0,262144.0,241664.0,344064.0
442368,344064.0,458752.0,299008.0,421888.0,143360.0,757760.0,331776.0,253952.0,303104.0
421888,360448.0,409600.0,286720.0,,143360.0,921600.0,335872.0,172032.0,229376.0
442368,323584.0,311296.0,233472.0,,139264.0,1003520.0,335872.0,245760.0,233472.0
16384,344064.0,413696.0,282624.0,,135168.0,618496.0,323584.0,237568.0,241664.0
45056,344064.0,442368.0,270336.0,,151552.0,540672.0,327680.0,241664.0,221184.0
69632,352256.0,434176.0,294912.0,,126976.0,69632.0,331776.0,245760.0,450560.0
90112,323584.0,438272.0,282624.0,,143360.0,69632.0,335872.0,241664.0,241664.0
122880,348160.0,360448.0,237568.0,,139264.0,69632.0,344064.0,241664.0,73728.0
114688,344064.0,397312.0,258048.0,,143360.0,65536.0,208896.0,237568.0,118784.0
151552,184320.0,389120.0,270336.0,,90112.0,65536.0,245760.0,299008.0,86016.0
241664,225280.0,389120.0,294912.0,,98304.0,73728.0,249856.0,299008.0,106496.0
294912,274432.0,278528.0,266240.0,,,65536.0,241664.0,360448.0,118784.0
331776,233472.0,233472.0,339968.0,,,20480.0,249856.0,307200.0,131072.0
339968,221184.0,425984.0,348160.0,,,20480.0,253952.0,360448.0,192512.0
339968,290816.0,438272.0,241664.0,,,20480.0,237568.0,327680.0,380928.0
344064,299008.0,458752.0,294912.0,,,40960.0,241664.0,299008.0,393216.0
311296,319488.0,409600.0,299008.0,,,53248.0,245760.0,290816.0,319488.0
344064,344064.0,311296.0,286720.0,,,90112.0,294912.0,290816.0,327680.0
348160,360448.0,413696.0,233472.0,,,118784.0,262144.0,290816.0,352256.0
344064,323584.0,442368.0,282624.0,,,143360.0,225280.0,290816.0,348160.0
335872,344064.0,434176.0,270336.0,,,131072.0,286720.0,290816.0,360448.0
290816,344064.0,438272.0,294912.0,,,204800.0,290816.0,282624.0,307200.0
339968,352256.0,360448.0,282624.0,,,241664.0,,290816.0,360448.0
331776,323584.0,397312.0,237568.0,,,,,307200.0,327680.0
344064,348160.0,389120.0,258048.0,,,,,241664.0,315392.0
290816,344064.0,,270336.0,,,,,294912.0,344064.0
327680,184320.0,,327680.0,,,,,331776.0,438272.0
356352,225280.0,,266240.0,,,,,327680.0,417792.0
16384,274432.0,,339968.0,,,,,344064.0,434176.0
45056,233472.0,,348160.0,,,,,344064.0,434176.0
69632,221184.0,,,,,,,339968.0,438272.0
90112,,,,,,,,,
122880,,,,,,,,,
114688,,,,,,,,,
151552,,,,,,,,,
241664,,,,,,,,,
294912,,,,,,,,,
331776,,,,,,,,,
339968,,,,,,,,,
339968,,,,,,,,,
344064,,,,,,,,,
311296,,,,,,,,,
344064,,,,,,,,,
348160,,,,,,,,,
344064,,,,,,,,,
335872,,,,,,,,,
290816,,,,,,,,,
339968,,,,,,,,,
331776,,,,,,,,,
344064,,,,,,,,,
290816,,,,,,,,,
327680,,,,,,,,,
356352,,,,,,,,,
